processes,N,execution_s,computation_s,communication_s
4,18000,0.0015677530,0.0010457070,0.0005220460
4,18000,0.0016961620,0.0009797351,0.0007164270
4,18000,0.0024206720,0.0009494241,0.0014712480
4,18000,0.0140635855,0.0009427313,0.0131208543
4,18000,0.0181170516,0.0010088310,0.0171082206
4,18000,0.0013849620,0.0009483130,0.0004366490
4,18000,0.0038264247,0.0010422551,0.0027841697
4,18000,0.0015105010,0.0010433211,0.0004671799
4,18000,0.0015234970,0.0009600540,0.0005634431
9,3600,0.0378823876,0.0000994559,0.0377829298
9,3600,0.0208571758,0.0001151133,0.0207420625
9,3600,0.0005381110,0.0001260680,0.0004120430
9,3600,0.0007015480,0.0001300650,0.0005714830
9,3600,0.0136974752,0.0001221180,0.0135753574
9,3600,0.0189231187,0.0001071280,0.0188159905
9,3600,0.0003716160,0.0001169980,0.0002546181
9,3600,0.0007188430,0.0001080729,0.0006107700
9,3600,0.0255139973,0.0000974312,0.0254165661
9,3600,0.0010454849,0.0001134080,0.0009320769
9,3600,0.0111822253,0.0001264650,0.0110557601
9,3600,0.0080138808,0.0001488570,0.0078650238
9,3600,0.0007807951,0.0001344800,0.0006463150
9,3600,0.0099104661,0.0000880789,0.0098223872
9,3600,0.0004186060,0.0001186510,0.0002999550
9,3600,0.0060294089,0.0001177350,0.0059116739
9,3600,0.0008617610,0.0001261760,0.0007355849
9,3600,0.0006988890,0.0000997039,0.0005991851
9,3600,0.0017232581,0.0001197150,0.0016035431
9,3600,0.0086793266,0.0001031961,0.0085761305
9,7200,0.0133585641,0.0002340670,0.0131244967
9,7200,0.0012361420,0.0002358430,0.0010002990
9,7200,0.0050406931,0.0002108820,0.0048298109
9,7200,0.0007897620,0.0001700440,0.0006197180
9,7200,0.0138405459,0.0001821920,0.0136583541
9,7200,0.0152730774,0.0002307231,0.0150423544
9,7200,0.0005884850,0.0002543750,0.0003341100
9,7200,0.0012937511,0.0002533491,0.0010404019
9,7200,0.0010117571,0.0001784190,0.0008333381
9,7200,0.0006082610,0.0002461120,0.0003621490
9,7200,0.0009938620,0.0002321040,0.0007617581
9,7200,0.0012665620,0.0002300550,0.0010365071
9,7200,0.0005927730,0.0002735060,0.0003192670
9,7200,0.0006649970,0.0002293610,0.0004356360
9,7200,0.0069623473,0.0002420410,0.0067203064
9,7200,0.0008363150,0.0002327430,0.0006035720
9,7200,0.0133274719,0.0002307901,0.0130966818
9,7200,0.0012293180,0.0002274470,0.0010018710
9,7200,0.0039893356,0.0002527010,0.0037366347
9,7200,0.0061512529,0.0002344850,0.0059167678
9,10800,0.0007821160,0.0003708020,0.0004113140
9,10800,0.0019905011,0.0003388290,0.0016516721
9,10800,0.0020645142,0.0003694121,0.0016951021
9,10800,0.0010791700,0.0003630730,0.0007160971
9,10800,0.0009071310,0.0003796960,0.0005274350
9,10800,0.0008233389,0.0003738690,0.0004494699
9,10800,0.0050929557,0.0003685670,0.0047243885
9,10800,0.0020183960,0.0003819871,0.0016364090
9,10800,0.0010942739,0.0003340710,0.0007602029
9,10800,0.0008305081,0.0003644090,0.0004660991
9,10800,0.0010262680,0.0003817620,0.0006445060
9,10800,0.0007709060,0.0003337630,0.0004371430
9,10800,0.0007964050,0.0003949120,0.0004014930
9,10800,0.0011339660,0.0002724800,0.0008614861
9,10800,0.0018903639,0.0003760200,0.0015143439
9,10800,0.0150904823,0.0003709760,0.0147195067
9,10800,0.0014219320,0.0002767550,0.0011451771
9,10800,0.0128732631,0.0003886030,0.0124846604
9,10800,0.0008286629,0.0002699620,0.0005587009
9,10800,0.0102545926,0.0003358060,0.0099187866
9,14400,0.0015259872,0.0004493259,0.0010766613
9,14400,0.0026997218,0.0005275719,0.0021721500
9,14400,0.0145831127,0.0004960811,0.0140870316
9,14400,0.0014201710,0.0004846560,0.0009355150
9,14400,0.0010051761,0.0005007200,0.0005044561
9,14400,0.0010117540,0.0004774030,0.0005343510
9,14400,0.0041982317,0.0004940962,0.0037041355
9,14400,0.0011825761,0.0003749060,0.0008076701
9,14400,0.0009890520,0.0004893210,0.0004997310
9,14400,0.0012052250,0.0004780380,0.0007271870
9,14400,0.0154477349,0.0004691430,0.0149785923
9,14400,0.0106345778,0.0004704967,0.0101640811
9,14400,0.0009469140,0.0004857060,0.0004612079
9,14400,0.0010551660,0.0004991510,0.0005560150
9,14400,0.0018768969,0.0004897140,0.0013871829
9,14400,0.0012084930,0.0005269520,0.0006815410
9,14400,0.0010380159,0.0005857820,0.0004522339
9,14400,0.0064064530,0.0005154700,0.0058909832
9,14400,0.0013899511,0.0004091450,0.0009808061
9,14400,0.0145982783,0.0005030874,0.0140951909
9,18000,0.0014582560,0.0006126620,0.0008455940
9,18000,0.0016248731,0.0006658200,0.0009590531
9,18000,0.0016140138,0.0006143511,0.0009996628
9,18000,0.0016363059,0.0006199490,0.0010163570
9,18000,0.0014676529,0.0006684430,0.0007992098
9,18000,0.0014819072,0.0006476139,0.0008342933
9,18000,0.0014758990,0.0004800770,0.0009958220
9,18000,0.0266507454,0.0006619530,0.0259887930
9,18000,0.0016223309,0.0006421061,0.0009802248
9,18000,0.0393403806,0.0005783513,0.0387620293
9,18000,0.0015073430,0.0006473730,0.0008599700
9,18000,0.0037294377,0.0006989432,0.0030304946
9,18000,0.0042743878,0.0006577012,0.0036166867
9,18000,0.0144913821,0.0006118580,0.0138795245
9,18000,0.0012149910,0.0006741530,0.0005408379
9,18000,0.0013789621,0.0006695550,0.0007094071
9,18000,0.0013118589,0.0006530550,0.0006588039
9,18000,0.0016869061,0.0005969961,0.0010899100
9,18000,0.0018589910,0.0005927260,0.0012662649
9,18000,0.0013206882,0.0006184700,0.0007022182
16,3600,0.0016505009,0.0000937110,0.0015567900
16,3600,0.0008455580,0.0000811650,0.0007643930
16,3600,0.0228516404,0.0000675830,0.0227840580
16,3600,0.0106072370,0.0000870647,0.0105201723
16,3600,0.0387031436,0.0000866838,0.0386164598
16,3600,0.0259094350,0.0000980240,0.0258114114
16,3600,0.0161496587,0.0000864150,0.0160632432
16,3600,0.0252979100,0.0000866240,0.0252112858
16,3600,0.0257124808,0.0000880150,0.0256244652
16,3600,0.0139451148,0.0000852924,0.0138598224
16,3600,0.0059361542,0.0000872971,0.0058488571
16,3600,0.0011222470,0.0000849820,0.0010372649
16,3600,0.0252879579,0.0000863913,0.0252015665
16,3600,0.0138077578,0.0000856780,0.0137220798
16,3600,0.0096484786,0.0000858350,0.0095626432
16,3600,0.0138543267,0.0000666970,0.0137876300
16,3600,0.0257704668,0.0000834959,0.0256869718
16,3600,0.0113624418,0.0000931050,0.0112693366
16,3600,0.0008476290,0.0000823670,0.0007652620
16,3600,0.0246725492,0.0000728080,0.0245997421
16,7200,0.0130711906,0.0001696450,0.0129015455
16,7200,0.0139513193,0.0001725950,0.0137787247
16,7200,0.0203311462,0.0001735389,0.0201576073
16,7200,0.0010266470,0.0001846770,0.0008419701
16,7200,0.0098835407,0.0001821402,0.0097014010
16,7200,0.0254132915,0.0001692440,0.0252440479
16,7200,0.0260912124,0.0001836307,0.0259075817
16,7200,0.0387583710,0.0001733117,0.0385850593
16,7200,0.0326856822,0.0001848700,0.0325008109
16,7200,0.0010505100,0.0001762240,0.0008742860
16,7200,0.0262509920,0.0001786528,0.0260723382
16,7200,0.0016963051,0.0002086409,0.0014876642
16,7200,0.0140990587,0.0001859991,0.0139130596
16,7200,0.0140914684,0.0001888670,0.0139026018
16,7200,0.0138690034,0.0001750197,0.0136939837
16,7200,0.0259494632,0.0001733899,0.0257760733
16,7200,0.0260905400,0.0001774160,0.0259131230
16,7200,0.0110535910,0.0001649330,0.0108886585
16,7200,0.0270907991,0.0001850137,0.0269057862
16,7200,0.0338955112,0.0001741946,0.0337213166
16,10800,0.0135769453,0.0002679010,0.0133090448
16,10800,0.0007471530,0.0002869150,0.0004602380
16,10800,0.0129947290,0.0002208200,0.0127739087
16,10800,0.0123261865,0.0002622170,0.0120639699
16,10800,0.0378881805,0.0002817139,0.0376064666
16,10800,0.0009292309,0.0002561370,0.0006730939
16,10800,0.0068625254,0.0002718730,0.0065906523
16,10800,0.0012113260,0.0002848790,0.0009264470
16,10800,0.0007876570,0.0002919590,0.0004956980
16,10800,0.0127498619,0.0002669340,0.0124829281
16,10800,0.0308017656,0.0002542119,0.0305475537
16,10800,0.0016792029,0.0002696950,0.0014095078
16,10800,0.0128080305,0.0002852010,0.0125228297
16,10800,0.0033082250,0.0002123190,0.0030959060
16,10800,0.0024993198,0.0002633300,0.0022359898
16,10800,0.0125867929,0.0002644520,0.0123223411
16,10800,0.0144631751,0.0002809120,0.0141822631
16,10800,0.0011201430,0.0002961300,0.0008240130
16,10800,0.0167853944,0.0002683531,0.0165170413
16,10800,0.0256375428,0.0002830480,0.0253544953
16,14400,0.0017835860,0.0003855550,0.0013980310
16,14400,0.0010784359,0.0003717950,0.0007066409
16,14400,0.0250223018,0.0003613103,0.0246609915
16,14400,0.0131025938,0.0003699750,0.0127326185
16,14400,0.0142187234,0.0003740983,0.0138446251
16,14400,0.0258338060,0.0003719125,0.0254618935
16,14400,0.0142557118,0.0003917320,0.0138639798
16,14400,0.0093219001,0.0003858420,0.0089360578
16,14400,0.0012059161,0.0003905700,0.0008153460
16,14400,0.0122862067,0.0003851750,0.0119010322
16,14400,0.0380394496,0.0003637320,0.0376757160
16,14400,0.0258992426,0.0003917376,0.0255075060
16,14400,0.0070470092,0.0003030421,0.0067439671
16,14400,0.0134697193,0.0003692330,0.0131004862
16,14400,0.0010935690,0.0003932750,0.0007002940
16,14400,0.0017907168,0.0003318280,0.0014588888
16,14400,0.0228064172,0.0003778450,0.0224285722
16,14400,0.0157605689,0.0003714850,0.0153890839
16,14400,0.0327670127,0.0002839160,0.0324830972
16,14400,0.0009881390,0.0003884410,0.0005996979
16,18000,0.0131568024,0.0004560826,0.0127007198
16,18000,0.0124598769,0.0004853590,0.0119745182
16,18000,0.0098755490,0.0003673080,0.0095082410
16,18000,0.0250551365,0.0004565710,0.0245985650
16,18000,0.0141022289,0.0004822121,0.0136200171
16,18000,0.0138287004,0.0004638290,0.0133648710
16,18000,0.0138332974,0.0004514090,0.0133818882
16,18000,0.0261755027,0.0004654920,0.0257100109
16,18000,0.0011480750,0.0004830850,0.0006649900
16,18000,0.0014804741,0.0004625540,0.0010179202
16,18000,0.0090302518,0.0004512590,0.0085789924
16,18000,0.0034127908,0.0004786039,0.0029341870
16,18000,0.0265328102,0.0004383251,0.0260944851
16,18000,0.0356188267,0.0004479220,0.0351709053
16,18000,0.0178950392,0.0004825518,0.0174124874
16,18000,0.0250286963,0.0004598526,0.0245688446
16,18000,0.0014255709,0.0004618820,0.0009636889
16,18000,0.0035940902,0.0004469920,0.0031470982
16,18000,0.0248169750,0.0004502239,0.0243667513
16,18000,0.0083177518,0.0004634170,0.0078543350
25,3600,0.0138833392,0.0000577000,0.0138256392
25,3600,0.0112510081,0.0000679790,0.0111830290
25,3600,0.0131433764,0.0000699710,0.0130734053
25,3600,0.0093775243,0.0000693980,0.0093081258
25,3600,0.0356301032,0.0000653584,0.0355647430
25,3600,0.0024694579,0.0000747141,0.0023947437
25,3600,0.0135292774,0.0000765210,0.0134527562
25,3600,0.0015537000,0.0000757641,0.0014779358
25,3600,0.0259596873,0.0000662820,0.0258934051
25,3600,0.0129333138,0.0000744520,0.0128588621
25,3600,0.0255981684,0.0000762590,0.0255219098
25,3600,0.0117054777,0.0000861660,0.0116193118
25,3600,0.0128774932,0.0000616090,0.0128158843
25,3600,0.0011720200,0.0000775441,0.0010944759
25,3600,0.0120611256,0.0000699320,0.0119911935
25,3600,0.0021140659,0.0000715950,0.0020424710
25,3600,0.0254648905,0.0000831390,0.0253817514
25,3600,0.0008386570,0.0000752100,0.0007634470
25,3600,0.0258399211,0.0000697970,0.0257701240
25,3600,0.0009515209,0.0000733460,0.0008781749
25,7200,0.0014238809,0.0001682060,0.0012556750
